device,site,city,state,date,tair_mean,tair_max,tair_min,rh_mean,precip,et,wind_speed,wind_dir,vpd,swdw,ndvi,lat,lon
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-04,29.2,36.1,20.8,30.0,0.0,5.7,,,2.9,18.6,0.26,-22.44751,-47.07162
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-05,24.9,33.8,17.5,48.0,0.1,5.3,,,1.8,17.9,0.25,-22.44751,-47.07158
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-06,21.9,31.6,15.2,67.0,0.0,4.5,,,1.1,16.8,0.25,-22.44745,-47.07165
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-07,25.1,35.2,15.9,59.0,0.0,5.1,,,1.6,17.9,0.24,-22.44753,-47.07156
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-08,27.4,35.6,20.4,46.0,0.0,5.2,,,2.2,16.7,0.24,-22.44749,-47.07148
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-09,26.8,36.0,18.9,41.0,0.0,5.6,,,2.3,18.3,0.24,-22.44748,-47.0715
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-10,25.2,34.0,16.9,43.0,0.0,5.7,,,2.0,20.3,0.24,-22.44752,-47.07161
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-11,25.6,34.0,17.8,40.0,0.0,5.8,,,2.2,20.4,0.24,-22.44745,-47.07157
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-12,25.4,35.1,17.0,37.0,0.0,6.3,,,2.2,22.6,0.24,-22.44746,-47.07154
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-13,25.7,33.7,17.4,37.0,0.1,5.8,,,2.3,19.9,0.22,-22.44754,-47.07176
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-14,25.4,32.4,17.6,43.0,0.0,4.8,,,2.0,15.9,0.23,-22.44753,-47.07158
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-15,23.7,33.6,17.9,58.0,0.0,5.2,,,1.4,18.7,0.22,-22.44759,-47.07162
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-16,19.2,22.8,16.8,80.0,0.2,1.3,,,0.4,4.8,0.25,-22.44751,-47.07172
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-17,19.2,27.4,13.4,69.0,0.2,5.2,,,0.8,22.9,0.23,-22.44755,-47.07164
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-18,20.8,27.6,13.7,67.0,0.0,5.0,,,0.9,20.7,0.22,-22.44751,-47.07164
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-19,23.9,33.9,15.1,63.0,0.1,5.2,,,1.4,19.3,0.22,-22.44756,-47.07166
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-20,25.5,33.7,18.3,56.0,0.2,5.6,,,1.7,20.2,0.22,-22.44747,-47.0717
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-21,23.0,30.0,17.4,66.0,0.0,3.5,,,1.1,12.5,0.22,-22.44755,-47.07169
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-22,25.8,34.1,18.8,57.0,0.0,5.8,,,1.6,21.8,0.21,-22.44752,-47.07171
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-23,26.9,36.4,19.3,49.0,0.0,6.3,,,2.1,22.4,0.21,-22.44757,-47.0716
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-24,27.8,36.5,19.5,44.0,0.0,6.0,,,2.3,20.9,0.21,-22.44759,-47.07164
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-25,27.9,36.6,20.2,42.0,0.0,6.5,,,2.4,23.0,0.21,-22.44759,-47.0715
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-26,28.2,37.3,19.1,40.0,0.0,6.6,,,2.5,22.7,0.2,-22.44778,-47.07152
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-27,24.7,30.7,17.8,61.0,0.1,3.9,,,1.3,13.7,0.2,-22.44766,-47.07153
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-28,21.6,30.4,15.6,63.0,0.1,5.6,,,1.1,23.1,0.2,-22.44754,-47.07167
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-29,24.6,34.9,15.6,59.0,0.0,6.1,,,1.6,23.0,0.19,-22.44754,-47.07158
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-09-30,26.1,35.4,18.0,53.0,0.0,5.8,,,1.9,21.3,0.19,-22.44749,-47.0716
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-10-01,26.9,35.3,19.0,45.0,0.0,6.2,,,2.2,22.1,0.19,-22.44745,-47.0716
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-10-02,27.8,39.3,19.9,44.0,0.1,6.5,,,2.4,22.5,0.19,-22.44747,-47.07167
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-10-03,23.7,33.6,18.0,62.0,0.0,5.1,,,1.3,19.0,0.18,-22.44748,-47.07159
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-10-04,19.1,26.1,15.8,80.0,8.0,4.0,,,0.5,17.9,0.21,-22.44753,-47.07168
D006582,BW Mogi Mirim,Mogi Mirim,SP,2024-10-05,21.9,32.6,14.4,67.0,0.0,6.1,,,1.2,25.0,0.2,-22.4475,-47.07168
